Genus,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
Saccharibacteria_(TM7)_[G-1],0.31208070691187,0.212298939526219,1.47000596238649,0.143904223315838,0.408346555271557
Bifidobacterium,2.14583712436303,0.806503928072386,2.66066543468892,0.0087512496846638,
Anaerococcus,-4.17228388757115,,,,
Lawsonella,-17.2131291759046,454966.837850912,-3.78338106074122e-05,0.999969869252677,
Limosilactobacillus,-0.364087491653584,1.05061871637213,-0.346545788667087,0.729476158475093,0.925072680395495
Catonella,0.433980717836663,0.414713543425876,1.04645899492846,0.297233117689079,0.556144848561919
Granulicatella,-0.214510270678325,0.190762724007475,-1.12448735356662,0.262816614675495,0.528661484863249
Mycoplasmopsis,-4.81465779044772,,,,
Lautropia,1.14531773497198,0.427569832669554,2.67866824892938,0.0083173695485968,0.0615963225515358
Staphylococcus,3.62845998906467,2.00804641898072,1.80696021504645,0.0730121374112525,
Serratia,21.7585186120473,1144347.41770732,1.90139098278738e-05,0.999984857372187,
Oribacterium,0.013038011059684,0.279336358660482,0.0466749517399237,0.962841784069674,0.989149617326409
Centipeda,20.5793906603082,573523.07010164,3.58824112457431e-05,0.999971423341998,
Eggerthella,-18.7024396364339,338673.005228951,-5.52227055232542e-05,0.999956020782483,
Propionibacteriaceae_[G-1],-16.9729296197743,273942.45477846,-6.19580109753358e-05,0.999950656802933,
Peptidiphaga,-0.14530389249077,,,,
Peptostreptococcaceae_[G-4],-0.28470984366605,0.583672640255886,-0.487790285220892,0.626495544394737,0.823287359530915
Clostridiales_[F-1][G-1],-0.686622072081893,1.05211915587257,-0.652608659627004,0.515126614665021,0.755895002076866
Lancefieldella,0.292438780418467,0.19178917650748,1.52479293015298,0.129667463620139,0.381932261569491
Lacticaseibacillus,16.4189130236293,60793.5738602972,0.0002700764567873,0.999784911822279,
Eikenella,5.63344469436722,1.086554962624,5.18468451955953,7.79166845485212e-07,1.62285618251912e-05
Treponema,-0.536924167435918,0.549911194781054,-0.976383409778907,0.330633878591961,0.573618313448666
Bacteroides,-2.01428841875854,0.533176872476604,-3.77789908516133,0.0002369995150629,0.0023723540562119
Lachnoanaerobaculum,0.608864889812825,0.395544521351969,1.53930811058065,0.126087194047548,0.381932261569491
Pedobacter,-2.92052543408383,1.68808427709409,-1.73008271785535,0.0859178773812903,
Ottowia,1.14871524492426,1.80362820079153,0.636891375073944,0.525282158911396,
Schaalia,0.0641271509704665,0.139116012672847,0.460961680387373,0.645573385991588,0.833826850546489
Fusobacterium,0.227828004833248,0.189060181291663,1.2050554658137,0.230305746243866,0.488961193640674
Tannerella,-0.246912322333687,0.285904259799673,-0.863618899930672,0.389340459717915,0.618825443919166
Saccharibacteria_(TM7)_[G-4],-0.997343085818792,1.3742974075204,-0.725711247333477,0.469281370364098,0.731274695760383
Bacillus,21.3571103932618,,,,
Sphingomonas,1.54544689067982,,,,
Ligilactobacillus,5.97691902610567,,,,
Peptostreptococcaceae_[G-8],-1.03038747982622,0.503677037013657,-2.04573050607086,0.042739343963607,0.191169809115653
Slackia,1.6958076340323,1.27439254801431,1.33067918254436,0.185554537757662,
Anaerolineae_[G-1],-4.48799221586991,,,,
Shuttleworthia,1.13462652209722,0.594496637648163,1.90854993997244,0.0584587862814675,0.234667395816181
Ruminococcaceae_[G-1],-0.878307460794674,0.473766383184066,-1.8538830359634,0.0659546503487035,0.251668008089772
Enterococcus,-5.278311046418,,,,
Klebsiella,-18.4293356622368,1495455.28003447,-1.23235618665989e-05,0.999990185547719,
Alloprevotella,0.369204233850673,0.187808281495609,1.96585704799874,0.0513825719223782,0.217566731441138
Ruminococcaceae_[G-3],1.22843353643972,,,,
Gracilibacteria_(GN02)_[G-1],-3.99622197827105,,,,
Syntrophomonadaceae_[VIII][G-1],-2.48002512057662,1.32806385917034,-1.86739899851347,0.0640305292489886,
Bacteroidales_[G-2],0.452329883920118,0.382981814538301,1.18107405299497,0.239665332151192,0.494944388582993
Absconditabacteria_(SR1)_[G-1],0.845189205908367,0.658309101973609,1.28387896107542,0.201399854919975,0.47138508691343
Cloacibacterium,-5.7521208135261,,,,
Pyramidobacter,0.745362102717617,2.19167313553217,0.340088168547374,0.734322651349017,
Ruminococcaceae_[G-2],0.818364937438912,1.38557064818387,0.590633857978718,0.555760617091156,0.770508019256796
Kingella,0.521731968579189,0.371870185720113,1.40299488534923,0.162931181844908,0.430227761066309
Peptostreptococcaceae_[G-7],1.02671534701169,0.814387534566324,1.26072085270612,0.209600184444176,0.47138508691343
Saccharibacteria_(TM7)_[G-6],-0.0270523758516354,0.540357765517091,-0.0500638235961092,0.960146075543047,0.989149617326409
Neisseria,-0.213039942610867,0.376131383002349,-0.566397679742498,0.572070877908133,0.778804734128107
Helicobacter,-3.87120491502445,,,,
Parvimonas,0.406179709861262,0.280853787072842,1.44623191339028,0.150447140737223,0.411422681738561
Mogibacterium,0.138709690938138,0.482849527941734,0.287273121151061,0.774346966906172,0.936173228071232
Peptostreptococcaceae_[G-5],-1.0539936731667,0.646319607844294,-1.63076233549859,0.105288706752808,0.36764456324499
Cutibacterium,-18.3896809156405,229208.266741415,-8.02313161609791e-05,0.999936103990747,
Veillonellaceae_[G-1],0.680876900537674,0.551071687945111,1.23555050174432,0.218787439059859,0.477850794276099
Sanguibacter,2.1727641020318,,,,
Peptoniphilaceae_[G-1],-0.707833198162909,1.11489539992375,-0.634887540312142,0.526584320745895,0.757935236303915
Mollicutes_[G-2],-1.40315650731787,1.2136947567024,-1.15610329497529,0.249695974464445,
Rhodobacter,2.59047999351257,,,,
Peptostreptococcus,-0.469029338405083,0.29962015838423,-1.56541315822818,0.119844610699344,0.381932261569491
Mycoplasma,-0.0295382040155,0.496502846965897,-0.0594925169029874,0.952648458153862,0.989149617326409
Olegusella,-4.14800681540288,0.894527475417774,-4.63709268791953,8.29382053197592e-06,
Abiotrophia,0.104262052758517,0.457365937473753,0.227961997638925,0.820023264832236,0.951655441116236
Actinomyces,0.454085667133984,0.195295683086808,2.32511881449087,0.0215680827442588,0.115763122340048
Fretibacterium,0.143691977631277,0.726273214531966,0.197848378208298,0.843463515530341,0.951655441116236
Desulfovibrio,-2.83908371877983,1.54665704080317,-1.83562589758459,0.0686300008305438,
Mitsuokella,0.0014854025327997,1.04266766261241,0.0014246174366605,0.998865438804341,0.998863320126727
Leptotrichia,0.555084719380023,0.222113327139208,2.49910586874478,0.013658890369795,0.0806981446047416
Odoribacter,-0.719984959900157,1.17344880991456,-0.61356315999211,0.540544163002093,
Ralstonia,-0.6327201632565,,,,
Saccharibacteria_(TM7)_[G-8],-2.35769110784314,,,,
Aggregatibacter,0.562056955058472,0.599544997651644,0.937472512088319,0.350202150490024,0.580859261321511
Peptoniphilaceae_[G-2],-16.0051570361535,64004.9940775106,-0.0002500610658095,0.999800852026505,
Brevundimonas,2.16938287893226,,,,
Pseudomonas,-9.75275836466167,,,,
Saccharibacteria_(TM7)_[G-2],0.646386669664612,0.628879666978745,1.02783839835365,0.305877619257371,0.556144848561919
Capnocytophaga,1.14185253704831,0.283607214810033,4.02617591309569,9.4391406641794e-05,0.0014172820946657
Sneathia,-0.706686134124769,0.702644572602938,-1.00575192875519,0.31634761948617,0.561669493941657
Johnsonella,-0.269998542498156,0.813796833862239,-0.33177634916169,0.740576496833933,0.925072680395495
Alloiococcus,-16.9491325312624,,,,
Leptothrix,-22.0380284504836,,,,
Peptoniphilus,-3.47621684384688,,,,
Lentilactobacillus,1.20172254500229,,,,
Escherichia,3.01018654826843,,,,
Simonsiella,-12.1014237305067,,,,
Campylobacter,0.539031944074288,0.194180875274026,2.77592704901352,0.0062924786968671,0.0516042728482234
